step,element_tag,element_id,kind,demand_ratio,state,mid_y,distance_to_support_m
1,13,M013,DECK_LONG,0.03214148322157163,BAJO,-53.99084904375,4.137727256249995
1,14,M014,ARCH,0.04418672409070617,BAJO,-53.99084904375,4.137727256249995
1,15,M015,DECK_LONG,0.03553883428064961,BAJO,-56.749333881249996,1.3792424187500032
1,16,M016,ARCH,0.05738221535070743,BAJO,-56.749333881249996,1.3792424187500032
1,17,M017,DECK_LONG,0.033108530199197524,BAJO,-59.887756249999995,1.7591799499999965
1,18,M018,ARCH,0.05359306600377893,BAJO,-59.887756249999995,1.7591799499999965
1,19,M019,DECK_LONG,0.032061777469368107,BAJO,-63.40611615,5.277539850000004
1,20,M020,ARCH,0.04421993117871617,BAJO,-63.40611615,5.277539850000004
1,21,M021,DECK_LONG,0.029245524864294686,BAJO,-66.92447605000001,8.795899750000011
1,22,M022,ARCH,0.04015799287709211,BAJO,-66.92447605000001,8.795899750000011
1,23,M023,DECK_LONG,0.027568152629928018,BAJO,-70.44283595,12.314259650000004
1,24,M024,ARCH,0.04454066020552839,BAJO,-70.44283595,12.314259650000004
1,25,M025,DECK_LONG,0.026363718777164175,BAJO,-73.96119585,12.314259650000011
1,26,M026,ARCH,0.042704632990949364,BAJO,-73.96119585,12.314259650000011
1,27,M027,DECK_LONG,0.030152362844582895,BAJO,-77.47955575,8.795899750000004
1,28,M028,ARCH,0.041540367847043645,BAJO,-77.47955575,8.795899750000004
1,29,M029,DECK_LONG,0.03043960420454888,BAJO,-80.99791565000001,5.277539849999997
1,30,M030,ARCH,0.049092851226370755,BAJO,-80.99791565000001,5.277539849999997
1,31,M031,DECK_LONG,0.03382828085570183,BAJO,-84.51627555000002,1.7591799499999894
1,32,M032,ARCH,0.05469024688259647,BAJO,-84.51627555000002,1.7591799499999894
1,33,M033,DECK_LONG,0.03246292336817205,BAJO,-87.97521331250002,1.6997578125000103
1,34,M034,ARCH,0.05262141719124532,BAJO,-87.97521331250002,1.6997578125000103
1,35,M035,DECK_LONG,0.03153204011296377,BAJO,-91.37472893750001,5.099273437500003
1,36,M036,ARCH,0.04339191152768108,BAJO,-91.37472893750001,5.099273437500003
1,37,M037,DECK_LONG,0.028680496059209335,BAJO,-94.7742445625,8.498789062499995
1,38,M038,ARCH,0.04628389743233697,BAJO,-94.7742445625,8.498789062499995
1,39,M039,DECK_LONG,0.026973154753975995,BAJO,-98.1737601875,11.898304687499987
1,40,M040,ARCH,0.04363640818652736,BAJO,-98.1737601875,11.898304687499987
1,41,M041,DECK_LONG,0.02576740114742409,BAJO,-101.57327581250001,11.898304687499987
1,42,M042,ARCH,0.04179836915214945,BAJO,-101.57327581250001,11.898304687499987
1,43,M043,DECK_LONG,0.029589545062670804,BAJO,-104.9727914375,8.498789062499995
1,44,M044,ARCH,0.040671628432308086,BAJO,-104.9727914375,8.498789062499995
1,45,M045,DECK_LONG,0.029902724970348623,BAJO,-108.3723070625,5.099273437500003
1,46,M046,ARCH,0.04828628538686396,BAJO,-108.3723070625,5.099273437500003
1,47,M047,DECK_LONG,0.033185556936299175,BAJO,-111.77182268749999,1.6997578125000103
1,48,M048,ARCH,0.053722992752414704,BAJO,-111.77182268749999,1.6997578125000103
1,49,M049,SPANDREL,0.05779323000000001,BAJO,-36.0606976,0.0
1,50,M050,SPANDREL,0.04252508179146251,BAJO,-38.8191824375,2.7584848374999993
1,51,M051,SPANDREL,0.04099026516371754,BAJO,-41.577667274999996,5.516969674999999
1,52,M052,SPANDREL,0.03543472546289556,BAJO,-44.3361521125,8.275454512500005
1,53,M053,SPANDREL,0.03706662887702256,BAJO,-47.094636949999995,11.033939349999997
1,54,M054,SPANDREL,0.03995570767712706,BAJO,-49.8531217875,8.275454512499998
1,55,M055,SPANDREL,0.03755319324005178,BAJO,-52.611606625,5.516969674999999
